CRUCES INGLATERRA vs ESPAÑA — UEFA Champions League 2012–2025
================================================================

Total de cruces            : 31
Victorias inglesas         : 10  (32.3%)
Victorias españolas        : 21  (67.7%)

Cruces decididos a penales :
  Victoria inglesa  : 0
  Victoria española : 1


LISTADO DETALLADO DE CRUCES
----------------------------------------------------------------
Temporada  Fase       Club inglés            Club español           Goles   Resultado
----------------------------------------------------------------
2011/12    Semis      Chelsea                Barcelona              3-2      Victoria inglesa
2012/13    Octavos    Manchester United      Real Madrid            2-3      Victoria española
2013/14    Octavos    Manchester City        Barcelona              1-4      Victoria española
2013/14    Semis      Chelsea                Atletico Madrid        1-3      Victoria española
2014/15    Octavos    Manchester City        Barcelona              1-3      Victoria española
2015/16    Octavos    Arsenal                Barcelona              1-5      Victoria española
2015/16    Semis      Manchester City        Real Madrid            0-1      Victoria española
2016/17    Cuartos    Leicester City         Atletico Madrid        1-2      Victoria española
2016/17    Octavos    Leicester City         Sevilla                3-2      Victoria inglesa
2017/18    Final      Liverpool              Real Madrid            1-3      Victoria española
2017/18    Octavos    Chelsea                Barcelona              1-4      Victoria española
2017/18    Octavos    Manchester United      Sevilla                1-2      Victoria española
2018/19    Cuartos    Manchester United      Barcelona              0-4      Victoria española
2018/19    Semis      Liverpool              Barcelona              4-3      Victoria inglesa
2019/20    Octavos    Liverpool              Atletico Madrid        2-4      Victoria española
2019/20    Octavos    Manchester City        Real Madrid            4-2      Victoria inglesa
2020/21    Cuartos    Liverpool              Real Madrid            1-3      Victoria española
2020/21    Octavos    Chelsea                Atletico Madrid        3-0      Victoria inglesa
2020/21    Semis      Chelsea                Real Madrid            3-1      Victoria inglesa
2021/22    Cuartos    Manchester City        Atletico Madrid        1-0      Victoria inglesa
2021/22    Cuartos    Chelsea                Real Madrid            4-5      Victoria española
2021/22    Final      Liverpool              Real Madrid            0-1      Victoria española
2021/22    Octavos    Manchester United      Atletico Madrid        1-2      Victoria española
2021/22    Semis      Manchester City        Real Madrid            5-6      Victoria española
2021/22    Semis      Liverpool              Villarreal             5-2      Victoria inglesa
2022/23    Cuartos    Chelsea                Real Madrid            0-4      Victoria española
2022/23    Octavos    Liverpool              Real Madrid            2-6      Victoria española
2022/23    Semis      Manchester City        Real Madrid            5-1      Victoria inglesa
2023/24    Cuartos    Manchester City        Real Madrid            4-4      Victoria española (pen.) *
2024/25    Cuartos    Arsenal                Real Madrid            5-1      Victoria inglesa
2024/25    Playoffs   Manchester City        Real Madrid            3-6      Victoria española

(* = cruce decidido a penales)
